,molecule_chembl_id,canonical_smiles,pIC50,fp
93,CHEMBL483552,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)cc1Cl,5.3979400086720375,[0 0 0 ... 1 0 0]
94,CHEMBL142996,N#C/C(C(=O)Nc1ccc(-c2ccccc2)cc1)=C(/O)C1CC1,3.6505282007856144,[0 0 0 ... 0 0 0]
95,CHEMBL519160,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2)cc1,4.590066876668706,[0 0 0 ... 0 0 0]
96,CHEMBL141732,N#C/C(C(=O)Nc1ccc(C(F)(F)F)cc1)=C(/O)C1CC1,4.033858267260968,[0 0 0 ... 0 0 0]
97,CHEMBL973,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,3.721017883134557,[0 0 0 ... 0 0 0]
98,CHEMBL586157,Cc1cc(Nc2ccc3c(c2)CCC3)n2ncnc2n1,6.657577319177793,[1 0 0 ... 0 0 0]
99,CHEMBL1784578,Cc1cc(Nc2ccc3c(c2)CCCC3)n2ncnc2n1,7.1938200260161125,[1 0 0 ... 0 0 0]
100,CHEMBL1784577,Cc1cc(Nc2cc(F)c(C(F)(F)F)c(F)c2)n2ncnc2n1,6.721246399047171,[0 0 0 ... 0 0 0]
101,CHEMBL1784576,Cc1cc(Nc2ccc(C(F)(F)F)c(C(F)(F)F)c2)n2ncnc2n1,6.267606240177032,[0 0 0 ... 0 0 0]
102,CHEMBL1784575,Cc1cc(Nc2ccc(Cl)c(F)c2)n2ncnc2n1,6.259637310505756,[0 0 0 ... 0 0 0]
103,CHEMBL1784574,Cc1cc(Nc2ccc(C(C)(C)C)c(F)c2)n2ncnc2n1,7.455931955649724,[0 0 0 ... 0 0 0]
104,CHEMBL1784573,Cc1cc(Nc2ccc(C(C)(C)C#N)cc2)n2ncnc2n1,6.0,[0 0 0 ... 0 0 0]
105,CHEMBL1784572,Cc1cc(Nc2ccc(OC(C)(C)C)cc2)n2ncnc2n1,4.356547323513812,[0 0 0 ... 0 0 0]
106,CHEMBL1784571,Cc1cc(Nc2ccc(NC(C)(C)C)cc2)n2ncnc2n1,4.301029995663981,[1 0 0 ... 0 0 0]
107,CHEMBL1784570,Cc1cc(Nc2ccc(N3CCOCC3)cc2)n2ncnc2n1,4.0,[0 0 0 ... 0 0 0]
108,CHEMBL1784569,Cc1cc(Nc2ccc(N3CCCC3)cc2)n2ncnc2n1,5.455931955649724,[0 0 0 ... 0 0 0]
109,CHEMBL582694,Cc1cc(Nc2ccc(N(C)C)cc2)n2ncnc2n1,6.086186147616283,[0 0 0 ... 0 0 0]
110,CHEMBL1784568,Cc1cc(Nc2ccc(OCc3ccccc3)cc2)n2ncnc2n1,5.267606240177032,[0 0 0 ... 0 0 0]
111,CHEMBL1784567,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2ncnc2n1,6.886056647693163,[0 0 0 ... 0 0 0]
112,CHEMBL1784566,Cc1cc(Nc2ccc(SC(F)(F)F)cc2)n2ncnc2n1,6.214670164989233,[0 0 0 ... 0 0 0]
113,CHEMBL1784565,Cc1cc(Nc2ccc(CC(F)(F)F)cc2)n2ncnc2n1,5.6020599913279625,[0 0 0 ... 0 0 0]
114,CHEMBL1784564,C#Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,5.958607314841775,[0 0 0 ... 0 0 0]
115,CHEMBL1784563,C=Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,6.096910013008056,[0 0 0 ... 0 0 0]
116,CHEMBL1784562,Cc1cc(Nc2ccc(C3CC3)cc2)n2ncnc2n1,6.376750709602099,[0 0 0 ... 0 0 0]
117,CHEMBL1784561,Cc1cc(Nc2ccc(C(C)(C)C)cc2)n2ncnc2n1,7.107905397309519,[0 0 0 ... 0 0 0]
118,CHEMBL600255,Cc1cc(Nc2ccc(C(C)C)cc2)n2ncnc2n1,6.657577319177793,[0 0 0 ... 0 0 0]
